adc_clk_f should be 3307500, is 3428571 . sample_f should be 44100, is 45714. hclk is 48000000
1, 536872060, 10408, 1, -536813312, -7, -536813312

xaxis, Abuf0, Bbuf0, Cbuf0
2, 352321536, 1235766, 347078656, -1207
3, 368050176, 3962994, 342884352, -1307
4, 374341632, 7386733, 334495744, -1206
5, 368050176, 10175711, 333447168, -905
6, 359661568, 11535583, 334495744, 0
7, 359661568, 11882913, 349175808, 1508
8, 363855872, 11952865, 367001600, 3117
9, 359661568, 11556260, 386924544, 3620
10, 347078656, 9896490, 404750336, 3620
11, 326107136, 6307131, 415236096, 2715
12, 309329920, 908962, 414187520, 905
13, 309329920, -4830601, 408944640, -603
14, 330301440, -8721738, 401604608, -1206
15, 367001600, -8923813, 377487360, -3017
16, 386924544, -5860843, 354418688, -4525
17, 382730240, -2080579, 330301440, -4525
18, 362807296, 156481, 315621376, -3721
19, 340787200, 9114, 316669952, -1307
20, 338690048, -1359267, 336592896, 2011
21, 354418688, -1836698, 368050176, 4928
22, 374341632, -367826, 391118848, 5229
23, 395313152, 3060082, 393216000, 2413
24, 401604608, 7416042, 379584512, -1106
25, 390070272, 10771935, 364904448, -2715
26, 363855872, 11435672, 370147328, -904
27, 331350016, 8583056, 386924544, 2112
28, 317718528, 3328825, 407896064, 3620
29, 326107136, -1783535, 417333248, 2916
30, 343932928, -4960209, 413138944, 502
31, 349175808, -6438663, 397410304, -1910
32, 346030080, -7410688, 375390208, -3620
33, 332398592, -8857946, 352321536, -4324
34, 330301440, -10622383, 337641472, -3620
35, 347078656, -11045541, 337641472, -1407
36, 367001600, -9120303, 350224384, 1206
37, 394264576, -4624036, 358612992, 2011
38, 416284672, 2114432, 365953024, 1508
39, 427819008, 9800405, 367001600, 804
40, 419430400, 16483245, 369098752, 301
41, 397410304, 20289582, 372244480, 502
42, 365953024, 20185872, 382730240, 1307
43, 329252864, 15824597, 391118848, 1810
44, 299892736, 7917148, 406847488, 2313
45, 286261248, -1687116, 416284672, 2413
46, 297795584, -10349752, 418381824, 1106
47, 332398592, -15362792, 413138944, -301
48, 371195904, -15510625, 397410304, -2011
49, 413138944, -10910052, 379584512, -3218
50, 434110464, -3137897, 358612992, -3721
51, 433061888, 4979218, 346030080, -3218
52, 413138944, 10998544, 344981504, -1307
53, 391118848, 13829140, 359661568, 1307
54, 381681664, 14226288, 377487360, 3117
55, 380633088, 13498683, 402653184, 4123
56, 378535936, 12165657, 418381824, 3922
57, 368050176, 9856925, 420478976, 1709
58, 349175808, 5901546, 412090368, -603
59, 327155712, 29267, 396361728, -2313
60, 309329920, -7284047, 381681664, -2916
61, 305135616, -14696251, 377487360, -1810
62, 330301440, -19709448, 382730240, 100
63, 373293056, -19959010, 387973120, 1005
64, 422576128, -14687756, 384827392, 200
65, 451936256, -5362527, 374341632, -1307
66, 458227712, 5039938, 362807296, -2112
67, 438304768, 13484181, 355467264, -1810
68, 407896064, 17965826, 368050176, 503
69, 374341632, 18020239, 394264576, 3721
70, 355467264, 14690050, 426770432, 5632
71, 346030080, 9685869, 454033408, 5732
72, 344981504, 4284966, 471859200, 4324
73, 342884352, -888325, 463470592, 904
74, 348127232, -5336129, 438304768, -3218
75, 356515840, -8424560, 386924544, -7342
76, 374341632, -9529481, 342884352, -9152
77, 405798912, -7629658, 313524224, -7040
78, 446693376, -1923996, 312475648, -2916
79, 479199232, 7031924, 331350016, 1709
80, 483393536, 16680296, 359661568, 4525
81, 454033408, 23409329, 392167424, 5833
82, 394264576, 23982111, 420478976, 5833
83, 331350016, 17288193, 444596224, 5028
84, 281018368, 4813095, 468713472, 4626
85, 262144000, -10114651, 483393536, 3721
86, 283115520, -23016406, 495976448, 2614
87, 339738624, -29735450, 484442112, 100
88, 405798912, -28336806, 448790528, -4526
89, 447741952, -20458333, 393216000, -8750
90, 465567744, -9538412, 338690048, -10560
91, 467664896, 1649879, 300941312, -8850
92, 461373440, 11413269, 292552704, -4425
93, 450887680, 18877794, 314572800, 1307
94, 426770432, 23078763, 354418688, 5933
95, 393216000, 23007130, 400556032, 8247
96, 355467264, 18405028, 439353344, 8146
97, 329252864, 10289715, 466616320, 6336
98, 319815680, 783805, 481296384, 4023
99, 334495744, -7509419, 484442112, 1709
100, 369098752, -12138880, 475004928, -603
101, 404750336, -12227536, 440401920, -4224
102, 420478976, -9204442, 402653184, -6939
103, 418381824, -5438920, 371195904, -6637
104, 406847488, -2548729, 352321536, -4827
105, 394264576, -1092534, 358612992, -1206
