adc_clk_f should be 600000, is 600000 . sample_f should be 8000, is 8000. hclk is 48000000
1, 121, 54, 200, 200
16, 26, 16
17, 22, 6
18, 27, -7
19, 15, -23
20, 25, -35
21, 16, -44
22, 11, -45
23, 18, -36
24, -5, -22
25, 24, 1
26, 15, 25
27, 10, 46
28, 15, 62
29, 23, 68
30, 21, 61
31, 29, 45
32, 23, 19
33, 30, -8
34, 31, -35
35, 36, -55
36, 36, -64
37, 31, -62
38, 34, -46
39, 34, -23
40, 29, 4
41, 23, 31
42, 18, 51
43, 19, 61
44, 22, 60
45, 17, 47
46, 19, 28
47, 26, 5
48, 29, -16
49, 42, -31
50, 31, -38
51, 37, -35
52, 40, -25
53, 42, -10
54, 43, 5
55, 41, 18
56, 33, 25
57, 41, 27
58, 30, 21
59, 31, 14
60, 26, 4
61, 29, -2
62, 18, -7
63, 31, -5
64, 9, -3
65, 24, 3
66, 15, 6
67, 23, 10
68, 12, 9
69, 31, 9
70, 9, 2
71, 38, 1
72, 12, -5
73, 23, -6
74, 15, -7
75, 33, -4
76, 3, -5
77, 17, 0
78, 25, 2
79, -9, 1
80, 15, 6
81, 15, 7
82, 12, 9
83, 7, 11
84, 20, 15
85, 19, 16
86, 19, 15
87, 25, 12
88, 24, 6
89, 33, 0
90, 19, -11
91, 44, -16
92, 29, -22
93, 33, -22
94, 25, -19
95, 41, -9
96, 18, 0
97, 21, 11
98, 25, 22
99, 21, 28
100, 16, 29
101, 19, 27
102, 28, 22
103, 18, 12
104, 40, 6
105, 28, -1
106, 39, -5
107, 44, -8
108, 31, -10
109, 47, -9
110, 45, -9
111, 31, -10
112, 42, -8
113, 40, -8
114, 31, -5
115, 33, 0
116, 31, 6
117, 22, 14
118, 28, 23
119, 22, 29
120, 17, 31
121, 17, 28
122, 31, 21
123, 15, 9
124, 16, -3
125, 29, -14
126, 13, -24
127, 24, -27
128, 24, -25
129, 11, -20
130, 26, -8
131, 18, 2
132, 16, 13
133, 14, 20
134, 13, 23
135, 3, 21
136, 9, 17
137, 21, 11
138, 2, 2
139, 12, -2
140, 17, -5
141, 13, -6
142, 25, -4
143, 23, -1
144, 26, 3
145, 29, 6
146, 32, 8
147, 33, 8
148, 36, 6
149, 31, 1
150, 36, -2
151, 33, -7
152, 28, -10
153, 17, -12
154, 20, -9
155, 26, -4
156, 16, 1
157, 17, 10
158, 23, 19
159, 23, 25
160, 29, 30
161, 39, 31
162, 30, 26
163, 40, 19
164, 40, 7
165, 37, -6
166, 54, -18
167, 30, -32
168, 44, -37
169, 39, -37
170, 43, -29
171, 19, -17
172, 32, 2
173, 27, 21
174, 24, 38
175, 24, 51
176, 14, 55
