
adc_clk_f should be 600000, is 600000 . sample_f should be 8000, is 8000. hclk is 48000000
1, 592, 327, 249, 249
16, 95, -46
17, 77, 29
18, 94, 54
19, 94, -21
20, 76, -45
21, 96, 5
22, 74, 18
23, 98, 3
24, 123, 25
25, 48, 23
26, 118, -28
27, 90, -27
28, 78, 27
29, 96, 18
30, 63, -29
31, 96, -2
32, 65, 46
33, 65, 12
34, 91, -34
35, 30, -7
36, 56, 17
37, 69, -5
38, 19, -4
39, 48, 19
40, 37, 4
41, 11, -15
42, 47, 11
43, 20, 18
44, 43, -20
45, 20, -24
46, 33, 12
47, 31, 15
48, 30, 4
49, 49, 22
50, 55, 12
51, 14, -42
52, 101, -36
53, 70, 36
54, 39, 42
55, 89, -23
56, 78, -20
57, 84, 44
58, 95, 27
59, 95, -54
60, 129, -42
61, 85, 43
62, 106, 48
63, 97, -18
64, 134, -8
65, 94, 43
66, 114, 0
67, 111, -74
68, 111, -20
69, 115, 83
70, 118, 59
71, 95, -41
72, 126, -44
73, 103, 23
74, 101, 26
75, 95, -24
76, 103, -15
77, 77, 36
78, 96, 35
79, 67, -18
80, 87, -33
81, 55, 8
82, 43, 29
83, 44, -8
84, 60, -21
85, 34, 21
86, -3, 24
87, 42, -32
88, 9, -23
89, 13, 54
90, 21, 37
91, 5, -65
92, 4, -61
93, 4, 48
94, -16, 63
95, 32, -12
96, -9, -22
97, 26, 9
98, 12, -23
99, 5, -44
100, 39, 24
101, -5, 68
102, 19, 11
103, 59, -35
104, -8, -19
105, 35, -13
106, 61, -11
107, 33, 35
108, 47, 47
109, 40, -22
110, 80, -44
111, 41, 21
112, 75, 35
113, 85, -28
114, 63, -24
115, 123, 41
116, 81, 25
117, 89, -39
118, 95, -17
119, 87, 47
120, 97, 31
121, 98, -24
122, 76, -36
123, 121, -8
124, 91, 28
125, 112, 47
126, 97, 9
127, 102, -35
128, 97, -12
129, 95, 22
130, 73, -9
131, 61, -31
132, 99, 36
133, 74, 74
134, 62, -13
135, 75, -83
136, 63, -17
137, 53, 62
138, 39, 30
139, 38, -29
140, 44, -12
141, 43, 30
142, 25, 7
143, 24, -43
144, 57, -16
145, 7, 54
146, 43, 41
147, 29, -46
148, 14, -55
149, 47, 33
150, 20, 61
151, 65, -11
152, 36, -45
153, 39, 2
154, 88, 22
155, 23, -4
156, 61, -3
157, 53, 19
158, 54, 14
159, 89, -3
160, 17, -22
161, 103, -29
162, 69, 13
163, 50, 65
164, 97, 20
165, 39, -62
166, 115, -23
167, 71, 59
168, 59, 9
169, 93, -70
170, 87, 11
171, 105, 106
172, 71, 6
173, 107, -109
174, 87, -26
175, 53, 88
176, 69, 30
177, 97, -47
178, 20, 0
179, 70, 34
180, 31, -28
181, 46, -36
182, 23, 42
183, 16, 48
184, 14, -30
185, -6, -44
186, -19, 8
187, 2, 23
188, -71, 2
189, -12, 1
190, -49, 0
191, -66, -10
192, -20, -7
193, -65, -3
194, -47, -6
195, -37, 12
196, -43, 27
197, -10, -6
198, -19, -35
199, -10, -9
200, 8, 15
201, 5, 5
202, 65, 14
203, 60, 31
204, 58, -14
205, 97, -62
206, 108, -5
207, 123, 75
208, 155, 44
209, 107, -46
210, 188, -45
211, 166, 28
212, 142, 43
213, 213, -6
214, 187, -13
215, 178, 25
216, 197, 15
217, 188, -32
218, 190, -12
219, 182, 55
220, 165, 40
221, 177, -40
222, 163, -36
223, 132, 33
224, 159, 33
225, 123, -15
226, 117, -1
227, 87, 25
228, 70, -10
229, 38, -33
230, 57, 19
231, -25, 41
232, -2, -15
233, -7, -34
234, -58, 13
235, -84, 15
236, -57, -25
237, -121, -6
238, -108, 37
239, -109, 3
240, -134, -50
241, -148, -26
242, -125, 24
243, -159, 21
244, -177, -5
245, -152, -13
246, -122, -6
247, -171, -2
248, -140, -16
249, -142, -37
250, -103, 6
251, -125, 75
252, -108, 22
253, -78, -97
254, -51, -56
255, -23, 86
256, -37, 48
257, -3, -92
258, 38, -33
259, 74, 123
260, 78, 52
261, 97, -126
262, 178, -75
263, 157, 104
264, 150, 83
265, 238, -62
266, 224, -40
267, 227, 77
268, 250, 37
269, 272, -80
270, 290, -33
271, 265, 95
272, 280, 58
273, 315, -61
274, 266, -32
275, 249, 65
276, 283, 30
277, 226, -44
278, 257, 2
279, 212, 55
280, 194, -8
281, 195, -48
282, 153, 29
283, 125, 65
284, 91, -10
285, 126, -43
286, 21, 2
287, 46, 10
288, 7, -19
289, -2, 13
290, -40, 53
291, -82, 0
292, -58, -61
293, -126, -26
294, -139, 26
295, -129, 7
296, -206, -17
297, -148, 10
298, -203, 18
299, -209, -24
300, -191, -43
301, -236, -9
302, -212, 18
303, -217, 10
304, -205, -4
305, -195, -15
306, -192, -17
307, -170, -8
308, -129, 6
309, -134, 8
310, -109, -6
311, -63, -20
312, -39, -5
313, -35, 17
314, 3, 7
315, 81, -8
316, 54, 7
317, 115, 13
318, 121, -30
319, 161, -31
320, 215, 54
321, 183, 77
322, 251, -29
323, 253, -78
324, 247, 22
325, 301, 74
326, 298, 1
327, 295, -28
328, 292, 23
329, 327, 25
330, 323, -8
331, 289, 9
332, 280, 14
333, 310, -15
334, 289, 21
335, 250, 61
336, 245, -23
337, 255, -74
338, 181, 45
339, 174, 100
340, 183, -35
341, 119, -77
342, 111, 50
343, 59, 48
344, 75, -68
345, 27, -11
346, -5, 104
347, -28, -2
348, -41, -118
349, -75, 1
350, -84, 97
351, -129, -19
352, -149, -78
353, -133, 31
354, -185, 55
355, -164, -41
356, -171, -48
